,well_index,area,eccentricity,major_axis_length,chip,day,major_axis_length_um
39,39,3501.0,0.7154639760084771,93.14728674330117,Chip_4,1,149.03565878928188
40,40,2130.0,0.8032401356593515,68.67262969163134,Chip_4,1,109.87620750661016
41,41,,,,Chip_4,1,
42,42,1969.0,0.4629198703474472,53.48779201704478,Chip_4,1,85.58046722727165
43,43,1827.0,0.780330012457754,61.594178521120575,Chip_4,1,98.55068563379292
44,44,,,,Chip_4,1,
45,45,1224.0,0.942102310620794,74.40919722499879,Chip_4,1,119.05471555999807
46,46,,,,Chip_4,1,
47,47,,,,Chip_4,1,
48,48,1753.0,0.6041407312483537,54.300356905385186,Chip_4,1,86.8805710486163
49,49,5356.0,0.8959226172291499,135.54755269677472,Chip_4,1,216.87608431483955
50,50,1666.0,0.7737301434137959,59.20796853990387,Chip_4,1,94.73274966384619
51,51,,,,Chip_4,1,
52,52,,,,Chip_4,1,
0,0,,,,Chip_1,4,
1,1,5951.0,0.4720452909086301,93.03820034359345,Chip_1,4,148.86112054974953
2,2,4043.0,0.6538325927680497,82.89040657281983,Chip_1,4,132.62465051651174
3,3,10374.0,0.4898491136079443,123.51462623551448,Chip_1,4,197.62340197682317
4,4,7980.0,0.31439848723294034,103.59922299478113,Chip_1,4,165.75875679164983
5,5,6507.0,0.7622134275356527,113.87993699502847,Chip_1,4,182.20789919204557
6,6,6846.0,0.7815503705847299,118.96734459882265,Chip_1,4,190.34775135811626
7,7,11858.0,0.362950431626044,127.35160827481056,Chip_1,4,203.7625732396969
8,8,8096.0,0.8556927153698543,142.6813369915876,Chip_1,4,228.2901391865402
9,9,1316.0,0.9363625597922288,74.30669994834777,Chip_1,4,118.89071991735644
10,10,21818.0,0.8106880492514619,252.16534737804886,Chip_1,4,403.4645558048782
11,11,8515.0,0.6741154688606016,121.71315615059878,Chip_1,4,194.74104984095806
12,12,7363.0,0.7735805018792778,125.22502720929485,Chip_1,4,200.36004353487178
13,13,6738.0,0.7208766171905877,111.82252284413151,Chip_1,4,178.91603655061044
14,14,2177.0,0.4487555331867119,55.815249414781675,Chip_1,4,89.30439906365069
15,15,6939.0,0.4622903160647826,99.96625328037716,Chip_1,4,159.94600524860346
16,16,10042.0,0.8526139285676573,164.51922102845242,Chip_1,4,263.23075364552386
17,17,10647.0,0.4050786672899933,124.54515621244215,Chip_1,4,199.27224993990745
18,18,12056.0,0.5536894518742729,136.1853344950751,Chip_1,4,217.89653519212015
19,19,11072.0,0.6226650057310017,134.96287156533865,Chip_1,4,215.94059450454185
20,20,7159.0,0.8176962414957627,138.13307193966662,Chip_1,4,221.0129151034666
21,21,9775.0,0.6447582947503042,128.13663419642705,Chip_1,4,205.0186147142833
22,22,9049.0,0.8209386623544063,144.0427867713603,Chip_1,4,230.46845883417652
23,23,9059.0,0.499014531958994,115.83048143019514,Chip_1,4,185.32877028831223
24,24,5062.0,0.8005911751691472,105.09157279206016,Chip_1,4,168.14651646729627
25,25,9325.0,0.3616096847479098,113.0815301786528,Chip_1,4,180.93044828584448
26,26,6658.0,0.7243541694807419,111.14904130111424,Chip_1,4,177.8384660817828
27,27,3603.0,0.8262570679972121,93.39835241377381,Chip_1,4,149.4373638620381
28,28,5694.0,0.2626514377675504,86.76723361031132,Chip_1,4,138.82757377649813
29,29,3061.0,0.7138275453666135,76.33828987213255,Chip_1,4,122.14126379541209
30,30,8000.0,0.6602819195236435,116.76597659623384,Chip_1,4,186.82556255397415
31,31,4159.0,0.17137042344527212,73.56134277685052,Chip_1,4,117.69814844296084
32,32,6222.0,0.4324781579944451,94.56689395743408,Chip_1,4,151.30703033189454
33,33,9469.0,0.6195267037744407,124.36245164364351,Chip_1,4,198.97992262982962
34,34,4482.0,0.6592275605461038,87.3754484703993,Chip_1,4,139.8007175526389
35,35,,,,Chip_1,4,
36,36,8505.0,0.8139797026412876,138.43799826555608,Chip_1,4,221.50079722488974
37,37,2150.0,0.5134767616899797,57.66312218682971,Chip_1,4,92.26099549892754
38,38,6012.0,0.3484352225660477,90.83141925199189,Chip_1,4,145.33027080318703
39,39,4346.0,0.3710016516084832,77.37565397203574,Chip_1,4,123.80104635525718
40,40,4870.0,0.4082817422520517,82.63607796581061,Chip_1,4,132.21772474529698
41,41,4451.0,0.8106951220564481,99.89974420146477,Chip_1,4,159.83959072234364
42,42,37966.0,0.5355634708428009,244.6635924541782,Chip_1,4,391.4617479266851
43,43,3010.0,0.4318143245523508,145.66509637561143,Chip_1,4,233.0641542009783
44,44,5160.0,0.3443486743069408,83.77971947040095,Chip_1,4,134.04755115264152
45,45,12144.0,0.6436796222529008,147.80404517689797,Chip_1,4,236.48647228303676
46,46,,,,Chip_1,4,
0,0,8464.0,0.4561580791177248,110.6566458485974,Chip_2,4,177.05063335775586
1,1,3205.0,0.3857540357722304,67.1595790388631,Chip_2,4,107.45532646218096
2,2,97005.0,0.3488187378286686,364.6126366775261,Chip_2,4,583.3802186840418
3,3,4339.0,0.6194143587255387,85.54955893301971,Chip_2,4,136.87929429283153
4,4,1969.0,0.2397689906683609,51.20202826923975,Chip_2,4,81.9232452307836
5,5,,,,Chip_2,4,
6,6,72048.0,0.37464562736035256,315.10187571839265,Chip_2,4,504.1630011494283
7,7,4543.0,0.6923664786340448,89.78891605828743,Chip_2,4,143.66226569325988
8,8,6792.0,0.7101096513139549,111.42756738329805,Chip_2,4,178.2841078132769
9,9,7828.0,0.4071385114963208,105.24513200266064,Chip_2,4,168.39221120425702
10,10,9171.0,0.7287482849227845,132.1786759693657,Chip_2,4,211.48588155098514
11,11,10624.0,0.7417466202184634,149.79313281454338,Chip_2,4,239.6690125032694
12,12,117564.0,0.4699534483835599,413.7604651545207,Chip_2,4,662.0167442472332
13,13,5038.0,0.4552335608091347,85.18845987700172,Chip_2,4,136.30153580320277
14,14,2506.0,0.7979940160546751,77.16121513714775,Chip_2,4,123.4579442194364
15,15,6363.0,0.7027357370637037,108.33328724466885,Chip_2,4,173.33325959147018
16,16,4446.0,0.7232798702504735,91.41826245412962,Chip_2,4,146.2692199266074
17,17,4494.0,0.7618365894944255,105.97637575191004,Chip_2,4,169.56220120305608
18,18,2423.0,0.7658160188149875,69.50217023761,Chip_2,4,111.20347238017601
19,19,1743.0,0.4480430734941945,50.35166301021982,Chip_2,4,80.56266081635172
20,20,10492.0,0.7916261156132158,149.8520301146774,Chip_2,4,239.76324818348385
21,21,6377.0,0.6502957881747227,103.9190745428083,Chip_2,4,166.2705192684933
22,22,8284.0,0.7072636619137335,123.27133881098896,Chip_2,4,197.23414209758235
23,23,6046.0,0.3736032877496076,91.3689164258813,Chip_2,4,146.1902662814101
24,24,7202.0,0.5850192375669151,107.06406608206603,Chip_2,4,171.30250573130567
